age,backhand,birthplace,f_name,finals_career,ht,l_hand,l_name,loss_career,prize_career,rank_2020,rank_career,titles_career,win_career,wt,yr_pro
17,,,Axel,0,,,Garcian,0,1014.0,1665,1600,0,0,,
17,,,Raul,0,,,Garcia,0,1524.0,1665,1248,0,0,,
22,,,Lautaro Agustin,0,,,Falabella,0,2756.0,1642,1478,0,0,,
38,Unknown Backhand,Russia,Mikhail,0,(183cm),Right-Handed,Elgin,93,871278.0,280,53,1,63,(78kg),1998
19,,,Dax,0,,,Donders,0,966.0,1665,1662,0,0,,
19,,,Nicolas,0,,,Demeroutis,0,630.0,1665,1600,0,0,,
30,,,Shendrit,0,,,Deari,1,11147.0,1665,1131,0,0,,
22,,,Constant,0,,,De La Bassetiere,0,6383.0,1665,1212,0,0,,
20,,,Kamen,0,,,Damov,0,468.0,1665,1609,0,0,,
18,,,Julian,0,,,Cundom,0,864.0,1618,1592,0,0,,
37,Unknown Backhand,Romania,Victor,0,(185cm),Right-Handed,Crivoi,37,627950.0,1665,75,0,16,(75kg),2003
17,,,Eliakim,0,,,Coulibaly,0,468.0,1665,1662,0,0,,
19,,,Clement,0,,,Chidekh,0,1080.0,1665,1600,0,0,,
18,Two-Handed Backhand,,Yash,0,(175cm),Right-Handed,Chaurasia,0,694.0,1665,1662,0,0,(70kg),
18,,,Raul Gerardo,0,,,Centeno Arteaga,0,1410.0,1665,1662,0,0,,
20,,,Leonardo,0,,,Catani,0,576.0,1665,1662,0,0,,
18,,,Jaime,0,,,Caldes,0,366.0,0,1662,0,0,,
19,,,Simone,0,,,Cacciapuoti,0,882.0,1665,1662,0,0,,
24,Two-Handed Backhand,,Samm,0,,Left-Handed,Butler,0,11839.0,1665,815,0,0,,
18,,,Jacob,0,,,Bullard,0,1808.0,1665,1471,0,0,,
23,,,Toby D.,0,,,Boyer,0,1593.0,1289,1273,0,0,,
33,,,Adrien,0,,,Bossel,7,165745.0,1365,401,0,1,,
22,Two-Handed Backhand,,Jorge,0,(191cm),Right-Handed,Blanco Guadalupe,0,8465.0,1665,940,0,0,(89kg),
17,,,Aissa,0,,,Benchakroun,0,522.0,1665,1662,0,0,,
25,Unknown Backhand,France,Romain,0,(185cm),Left-Handed,Bauvy,0,25372.0,1665,882,0,0,(82kg),
19,,,Carles,0,,,Batlle,0,1302.0,1664,1662,0,0,,
25,,,Max,0,,,Andrews,0,1687.0,1665,1553,0,0,,
28,Two-Handed Backhand,,Francis Casey,0,(170cm),Right-Handed,Alcantara,2,32848.0,410,257,0,6,(70kg),
18,,,Goran,0,,,Zivotic,0,258.0,1584,1579,0,0,,
,Unknown Backhand,,Zhao,0,,Right-Handed,Zhao,0,3748.0,1584,1579,0,0,,
20,,,Bang Shuo,0,,,Yin,0,2576.0,1584,1464,0,0,,
18,,,Olle,0,,,Wallin,0,258.0,1584,1579,0,0,,
17,,,Iiro,0,,,Vasa,0,312.0,1584,1579,0,0,,
